"fips","state","densityMi","pop2023","pop2022","pop2020","pop2019","pop2010","growthRate","growth","growthSince2010","AverageTemperatureF","AverageTemperatureC","AverageTemperatureAvgAnnualPrecipitationIn","AverageTemperatureAvgHighF","AverageTemperatureAvgLowF"
"1","Alabama",100.6762,5098746,5074296,5031362,5006199.4,4779736,0.00482,24450,0.06674,62.8,17.1,56.9,75,52.2
"2","Alaska",1.28449,732984,733583,732923,730653.8,710231,-0.00082,-599,0.03204,26.6,-3,37.6,35.5,20.4
"4","Arizona",65.61541,7453517,7359197,7179943,7101150.4,6392017,0.01282,94320,0.16607,60.3,15.7,11.6,75.3,46.8
"5","Arkansas",58.86715,3063152,3045637,3014195,3004367.3,2915918,0.00575,17515,0.05049,60.4,15.8,52.5,71.8,50.2
"6","California",249.81347,38915693,39029342,39501653,39276883.3,37253956,-0.00291,-113649,0.04461,59.4,15.2,22.3,71.5,46.5
"8","Colorado",56.62333,5868555,5839926,5784865,5709298.1,5029196,0.0049,28629,0.1669,45.1,7.3,18,60,32.4
"9","Connecticut",749.49504,3629055,3626205,3597362,3595035.5,3574097,0.00079,2850,0.01538,49,9.4,48.7,60,39.8
"10","Delaware",529.49461,1031985,1018396,992114,982696,897934,0.01334,13589,0.14929,55.3,12.9,45.9,66.1,46.3
"12","Florida",422.59351,22661577,22244823,21589602,21310772.8,18801310,0.01873,416754,0.20532,70.7,21.5,54.4,81.9,60.9
"13","Georgia",191.91701,11037723,10912876,10729828,10625610.5,9687653,0.01144,124847,0.13936,63.5,17.5,50.4,75.6,52.7
"15","Hawaii",223.14152,1433238,1440196,1451043,1441968.8,1360301,-0.00483,-6958,0.05362,70,21.1,43.2,80.4,66.6
"16","Idaho",23.88287,1973752,1939033,1849202,1821040,1567582,0.01791,34719,0.25911,44.4,6.9,23.7,55.7,32.1
"17","Illinois",224.74459,12477595,12582032,12786580,12790985.2,12830632,-0.0083,-104437,-0.02752,51.8,11,40.7,62.7,42.6
"18","Indiana",191.27287,6852542,6833037,6788799,6758299.3,6483802,0.00285,19505,0.05687,51.7,10.9,43.6,62.5,42.2
"19","Iowa",57.34903,3203345,3200517,3190571,3176149.4,3046355,0.00088,2828,0.05153,47.8,8.8,35.6,58.5,38.1
"20","Kansas",35.91504,2936378,2937150,2937919,2929438.9,2853118,-0.00026,-772,0.02918,54.3,12.4,29,67.5,42.6
"21","Kentucky",114.42109,4518031,4512310,4507445,4490637.2,4339367,0.00127,5721,0.04117,55.6,13.1,50.4,67.2,45.4
"22","Louisiana",105.39265,4553384,4590241,4651664,4639834.8,4533372,-0.00803,-36857,0.00441,66.4,19.1,59.7,77.5,56.7
"23","Maine",45.17855,1393442,1385340,1363557,1360037.4,1328361,0.00585,8102,0.04899,41,5,45.5,51.9,31.7
"24","Maryland",634.04862,6154710,6164660,6173205,6133239.7,5773552,-0.00161,-9950,0.06602,54.2,12.3,45.2,65.4,45.4
"25","Massachusetts",894.13564,6974258,6981974,6995729,6950919,6547629,-0.00111,-7716,0.06516,47.9,8.8,48.6,58.8,38.7
"26","Michigan",177.41244,10030722,10034113,10069577,10050983.3,9883640,-0.00034,-3391,0.01488,44.4,6.9,33.9,55,35.3
"27","Minnesota",71.87131,5722897,5717184,5709852,5669259.3,5303925,0.001,5713,0.07899,41.2,5.1,28.6,51.9,31.4
"28","Mississippi",62.45398,2930528,2940057,2958141,2959056.6,2967297,-0.00324,-9529,-0.01239,63.4,17.4,58.5,75.3,53
"29","Missouri",89.98998,6186091,6177957,6153998,6137490.9,5988927,0.00132,8134,0.03292,54.5,12.5,43.5,66,44.5
"30","Montana",7.82919,1139507,1122867,1087075,1077309,989415,0.01482,16640,0.1517,42.7,5.9,18.9,54.7,30.4
"31","Nebraska",25.67286,1972292,1967923,1962642,1949011.9,1826341,0.00222,4369,0.07991,48.8,9.3,24.2,61.9,36.9
"32","Nevada",29.23222,3209142,3177772,3115648,3074138.3,2700551,0.00987,31370,0.18833,49.9,9.9,10.2,64.6,37.4
"33","New Hampshire",156.70245,1402957,1395231,1378587,1372375.3,1316470,0.00554,7726,0.0657,43.8,6.6,47.9,54.7,33.3
"34","New Jersey",1258.5582,9255437,9261699,9271689,9223709.5,8791894,-0.00068,-6262,0.05272,52.7,11.5,47.6,63.6,43.6
"35","New Mexico",17.39527,2110011,2113344,2118390,2112468.9,2059179,-0.00158,-3333,0.02469,53.4,11.9,13.8,69.5,39.4
"36","New York",413.71663,19496810,19677151,20108296,20035276.6,19378102,-0.00916,-180341,0.00613,45.4,7.4,43.5,55.9,36.1
"37","North Carolina",222.7994,10832061,10698973,10449445,10358048.8,9535483,0.01244,133088,0.13597,59,15,50.8,70.5,48.6
"38","North Dakota",11.31271,780588,779261,779518,768825.3,672591,0.0017,1327,0.16057,40.4,4.7,18.8,52.2,29.8
"39","Ohio",287.50579,11747774,11756058,11797517,11771415.7,11536504,-0.0007,-8284,0.01831,50.7,10.4,41.1,61.7,41.6
"40","Oklahoma",59.01851,4048375,4019800,3964912,3943555.9,3751351,0.00711,28575,0.07918,59.6,15.3,36.4,72.3,48.3
"41","Oregon",44.00522,4223973,4240137,4244795,4203422.9,3831074,-0.00381,-16164,0.10256,48.4,9.1,32.1,59.4,36.4
"42","Pennsylvania",289.02749,12931957,12972008,12994440,12965233.9,12702379,-0.00309,-40051,0.01807,48.8,9.3,45,59.7,39.2
"44","Rhode Island",1054.62573,1090483,1093734,1096345,1091967.2,1052567,-0.00297,-3251,0.03602,50.1,10.1,49.1,60,41.3
"45","South Carolina",178.70337,5372002,5282634,5131848,5081199.6,4625364,0.01692,89368,0.16142,62.4,16.9,48.3,74.7,52
"46","South Dakota",12.1814,923484,909824,887799,880437.1,814180,0.01501,13660,0.13425,45.2,7.3,21.2,57.5,33.8
"47","Tennessee",173.0163,7134327,7051339,6925619,6867667.6,6346105,0.01177,82988,0.12421,57.6,14.2,55.1,69.4,47.5
"48","Texas",116.75553,30500280,30029572,29232474,28823782.7,25145561,0.01567,470708,0.21295,64.8,18.2,28.6,78.1,53.5
"49","Utah",41.6513,3422487,3380800,3283785,3231795,2763885,0.01233,41687,0.23829,48.6,9.2,13.5,62,36.4
"50","Vermont",70.2133,647156,647064,642893,641177.8,625741,0.00014,92,0.03422,42.9,6.1,46,53.4,32.7
"51","Virginia",220.55895,8709873,8683619,8636471,8572926.3,8001024,0.00302,26254,0.08859,55.1,12.8,45.8,66.9,45.1
"53","Washington",117.83476,7830827,7785786,7724031,7624081.9,6724540,0.00579,45041,0.16451,48.3,9.1,43.2,57,37.6
"54","West Virginia",73.41651,1764786,1775156,1791420,1797577.4,1852994,-0.00584,-10370,-0.0476,51.8,11,47.1,63.5,41.7
"55","Wisconsin",109.03241,5904977,5892539,5896271,5875342.5,5686986,0.00211,12438,0.03833,43.1,6.2,34.1,54,33.7
"56","Wyoming",6.00743,583279,581381,577605,576207.1,563626,0.00326,1898,0.03487,42,5.6,16,55.2,29.3